File Name,Component RT,Compound Name,CAS#,Component RI,Component Area,Formula,Match Factor
3-2.D,5.52041955642224,Ethylene oxide,75-21-8,699.910696462343,845339.097299288,C2H4O,96.0274946048828
5-2.D,5.52061028597938,Acetaldehyde,75-07-0,699.930042192857,931956.438928834,C2H4O,97.523344631596
1-2.D,5.5206204160904,Ethylene oxide,75-21-8,699.931069691693,695676.757310397,C2H4O,95.7621936230096
2-3.D,5.52088498149589,Ethylene oxide,75-21-8,699.957904604513,1001452.27383098,C2H4O,95.9242073743826
1-1.D,5.52274359457518,Acetaldehyde,75-07-0,700.146424036432,615382.90375919,C2H4O,94.4316510941813
1-1.D,5.52274359457518,Ethylene oxide,75-21-8,700.146424036432,618517.030260924,C2H4O,95.5353482655805
5-2.D,5.675039829461,"Methylamine, N,N-dimethyl-",75-50-3,715.593856320215,1530582.20469236,C3H9N,84.676287075429
5-3.D,5.67536895235734,"Methylamine, N,N-dimethyl-",75-50-3,715.627239310005,1420507.86340649,C3H9N,84.9552084324456
4-3.D,5.70380233268121,"Methylamine, N,N-dimethyl-",75-50-3,718.51124177718,1483871.30650333,C3H9N,84.7993855948148
5-1.D,5.71439391736101,"Methylamine, N,N-dimethyl-",75-50-3,719.58554796237,1405360.02017092,C3H9N,85.2619301145634
2-1.D,5.71807221110063,Propanal,123-38-6,719.958637904517,461264.289478766,C3H6O,75.6964685082838
6-2.D,5.71816291848587,"Methylamine, N,N-dimethyl-",75-50-3,719.967838369598,1642766.5035194,C3H9N,84.7254193021888
4-2.D,5.73777337010955,"Methylamine, N,N-dimethyl-",75-50-3,721.956929720008,1503937.82808652,C3H9N,84.6765950791449
1-3.D,5.76700847862103,Arsine,7784-42-1,724.922251609801,29926.0209531041,AsH3,75.0693719979211
4-1.D,5.77779999194222,"Methylamine, N,N-dimethyl-",75-50-3,726.016836590143,1743073.6089554,C3H9N,83.0264846318115
1-1.D,5.79627013101498,"Methylamine, N,N-dimethyl-",75-50-3,727.890265849983,327899.051440413,C3H9N,83.418929830409
6-1.D,5.81016980246195,"Methylamine, N,N-dimethyl-",75-50-3,729.300111822898,3124830.18818778,C3H9N,86.1199489809891
6-3.D,5.88125719625538,"Methylamine, N,N-dimethyl-",75-50-3,736.510517928328,1657761.28668441,C3H9N,81.3288715613974
5-3.D,5.91694488963175,Dimethyl sulfide,75-18-3,740.130326567781,344778.490131123,C2H6S,95.3800992584777
5-1.D,5.91696994956064,Dimethyl sulfide,75-18-3,740.132868400511,355057.131033281,C2H6S,95.0912255126699
6-1.D,5.91707062976283,Dimethyl sulfide,75-18-3,740.143080410065,278498.333557059,C2H6S,94.0559856288391
6-2.D,5.91726072762627,Dimethyl sulfide,75-18-3,740.162362067782,271789.708507199,C2H6S,94.052810804212
4-2.D,5.91813219784059,Dimethyl sulfide,75-18-3,740.250755435703,394085.791540558,C2H6S,94.3660250590205
6-3.D,5.918580757344,Dimethyl sulfide,75-18-3,740.296252900294,277938.892393178,C2H6S,94.0707356718944
1-3.D,5.91942762923042,Borane-methyl sulfide complex,13292-87-0,740.382151255748,1907550.16865401,C2H9BS,94.4042472711841
2-1.D,5.91953142626682,Dimethyl sulfide,75-18-3,740.392679406311,575189.284484801,C2H6S,95.4733224431572
2-2.D,5.91958802198104,Dimethyl sulfide,75-18-3,740.398419918962,587511.438576809,C2H6S,95.7255413219872
4-3.D,5.91966561148427,Dimethyl sulfide,75-18-3,740.406289835101,385520.739190442,C2H6S,94.4149928996355
3-3.D,5.91995077803046,Dimethyl sulfide,75-18-3,740.435214325029,663530.711314761,C2H6S,93.6451726424248
3-1.D,5.92033990696997,Dimethyl sulfide,75-18-3,740.474683737698,668107.289751653,C2H6S,95.9731199905896
1-2.D,5.92078261235416,Dimethyl sulfide,75-18-3,740.51958741801,1807724.548649,C2H6S,95.7005732070095
3-2.D,5.92105309283768,Dimethyl sulfide,75-18-3,740.547022298172,591488.327025637,C2H6S,95.1525780049972
2-3.D,5.9210986637954,Dimethyl sulfide,75-18-3,740.551644567948,544647.978611184,C2H6S,95.4917069938299
5-2.D,5.92149047446485,Dimethyl sulfide,75-18-3,740.591385988929,383140.325470405,C2H6S,95.2063583630134
4-1.D,5.92183161215202,Dimethyl sulfide,75-18-3,740.625987640939,448496.598096659,C2H6S,94.3046713640436
1-1.D,5.92222605122985,Borane-methyl sulfide complex,13292-87-0,740.665995661817,1765135.01428346,C2H9BS,97.4968156328905
5-3.D,6.40591738041101,Trimethylene oxide,503-30-0,789.726887149915,2213998.15175784,C3H6O,87.63336069211
